Date,Region,Cost center,Project,Account,Source,Category,Event Type,PO No,Transactional value,Functional value,PO with Line item
2024-05-01,France,Center A,10.0,2,PROJECT ACCOUNTING,MISCELLANEOUS_COST,MISC_COST_DIST,NEW_PO_2019,54892.0,58619.17,NEW_PO_2019-
2024-05-01,France,Center A,10.0,2,PROJECT ACCOUNTING,MISCELLANEOUS_COST,MISC_COST_DIST,NEW_PO_2019,28830.0,30787.56,NEW_PO_2019-
2024-05-01,France,Center A,10.0,2,PROJECT ACCOUNTING,MISCELLANEOUS_COST,MISC_COST_DIST,NEW_PO_2019,22500.0,24027.75,NEW_PO_2019-
2024-05-01,France,Center A,10.0,2,PROJECT ACCOUNTING,MISCELLANEOUS_COST,MISC_COST_DIST,NEW_PO_2019,28565.0,30504.56,NEW_PO_2019-
2024-05-01,France,Center A,,2,REVALUATION,REVALUE PROFIT/LOSS,,NEW_PO_2019,0.0,0.01,NEW_PO_2019-
2024-05-01,United Arab Emirates,Center A,,2,SPREADSHEET,ACCRUAL - AUTOREVERSE,,NEW_PO_3298,81626.06,22223.87,NEW_PO_3298-
2024-05-01,France,Center A,,2,SPREADSHEET,ACCRUAL - AUTOREVERSE,,NEW_PO_3326,19380.0,20695.9,NEW_PO_3326-
2024-05-01,Germany,Center A,,2,SPREADSHEET,ACCRUAL - AUTOREVERSE,,NEW_PO_4252,10296.64,10995.78,NEW_PO_4252-
2024-05-01,Germany,Center A,,2,SPREADSHEET,ACCRUAL - AUTOREVERSE,,NEW_PO_3348,92449.1,98726.39,NEW_PO_3348-
2024-05-01,United Kingdom,Center A,,2,SPREADSHEET,ACCRUAL - AUTOREVERSE,,NEW_PO_5304,12875.0,16101.48,NEW_PO_5304-
2024-05-01,United Kingdom,Center A,,2,SPREADSHEET,ACCRUAL - AUTOREVERSE,,NEW_PO_5305,9324.43,11661.13,NEW_PO_5305-
2024-05-01,United Kingdom,Center A,,2,SPREADSHEET,ACCRUAL - AUTOREVERSE,,NEW_PO_4298,25322.96,31668.89,NEW_PO_4298-
2024-05-01,United Kingdom,Center A,,2,SPREADSHEET,ACCRUAL - AUTOREVERSE,,NEW_PO_5306,28545.0,35698.38,NEW_PO_5306-
2024-05-01,United Kingdom,Center A,,2,SPREADSHEET,ACCRUAL - AUTOREVERSE,,NEW_PO_5307,25177.71,31487.24,NEW_PO_5307-
2024-05-01,United Kingdom,Center A,,2,SPREADSHEET,ACCRUAL - AUTOREVERSE,,NEW_PO_5308,59750.0,74723.35,NEW_PO_5308-
2024-05-01,United Kingdom,Center A,,2,REVALUATION,REVALUE PROFIT/LOSS,,NEW_PO_2019,0.0,-0.01,NEW_PO_2019-
2024-05-01,United Arab Emirates,Center A,10.0,2,PROJECT ACCOUNTING,MISCELLANEOUS_COST,MISC_COST_DIST,NEW_PO_3298,-81626.06,-22223.87,NEW_PO_3298-
2024-05-01,Germany,Center A,20.0,2,PROJECT ACCOUNTING,MISCELLANEOUS_COST,MISC_COST_DIST,NEW_PO_3348,-92449.1,-98726.39,NEW_PO_3348-
2024-06-01,Bulgaria,Center A,20.0,2,PAYABLES,PURCHASE INVOICES,INVOICE VALIDATED,NEW_PO_3235,677.2,370.01,NEW_PO_3235-
2024-06-01,Poland,Center A,10.0,2,PAYABLES,PURCHASE INVOICES,INVOICE VALIDATED,NEW_PO_5343,13874.76,3425.27,NEW_PO_5343-
2024-06-01,Portugal,Center A,0.0,2,PAYABLES,PURCHASE INVOICES,CREDIT MEMO VALIDATED,NEW_PO_117,-823.2,-823.2,NEW_PO_117-
2024-06-01,Italy,Center A,20.0,2,PAYABLES,PURCHASE INVOICES,INVOICE VALIDATED,NEW_PO_5344,661.0,705.88,NEW_PO_5344-
2024-06-01,Turkey,Center A,10.0,2,PROJECT ACCOUNTING,MISCELLANEOUS_COST,MISC_COST_DIST_ADJ,NEW_PO_2315,-1967.64,-1967.64,NEW_PO_2315-5
2024-06-01,Turkey,Center A,20.0,2,PROJECT ACCOUNTING,MISCELLANEOUS_COST,MISC_COST_DIST_ADJ,NEW_PO_4788,-200.0,-200.0,NEW_PO_4788-1
2024-06-01,Turkey,Center A,20.0,2,PROJECT ACCOUNTING,MISCELLANEOUS_COST,MISC_COST_DIST_ADJ,NEW_PO_4788,-850.0,-850.0,NEW_PO_4788-2
2024-06-01,Turkey,Center A,10.0,2,PROJECT ACCOUNTING,MISCELLANEOUS_COST,MISC_COST_DIST_ADJ,NEW_PO_2563,-247.32,-247.32,NEW_PO_2563-2
2024-06-01,United Kingdom,Center A,20.0,2,PAYABLES,PURCHASE INVOICES,INVOICE VALIDATED,NEW_PO_3349,1378.0,1723.33,NEW_PO_3349-
2024-06-01,United Kingdom,Center A,10.0,2,PAYABLES,PURCHASE INVOICES,INVOICE CANCELLED,NEW_PO_2619,-1916.0,-2396.15,NEW_PO_2619-
2024-06-01,United Kingdom,Center A,20.0,2,PAYABLES,PURCHASE INVOICES,INVOICE VALIDATED,NEW_PO_3349,-1653.6,-2067.99,NEW_PO_3349-
2024-06-01,United Kingdom,Center A,20.0,2,PAYABLES,PURCHASE INVOICES,INVOICE VALIDATED,NEW_PO_3349,1653.6,2067.99,NEW_PO_3349-
2024-06-01,Germany,Center A,10.0,2,PAYABLES,PURCHASE INVOICES,INVOICE VALIDATED,NEW_PO_437,2857.89,3051.94,NEW_PO_437-
2024-06-01,Germany,Center A,10.0,2,PAYABLES,PURCHASE INVOICES,INVOICE VALIDATED,NEW_PO_4252,10296.64,10995.78,NEW_PO_4252-
2024-06-01,Germany,Center A,10.0,2,PAYABLES,PURCHASE INVOICES,INVOICE VALIDATED,NEW_PO_4252,-10296.64,-10995.78,NEW_PO_4252-
2024-06-01,Germany,Center A,10.0,2,PAYABLES,PURCHASE INVOICES,INVOICE VALIDATED,NEW_PO_4252,10296.64,10995.78,NEW_PO_4252-
2024-06-01,Germany,Center A,10.0,2,PAYABLES,PURCHASE INVOICES,INVOICE VALIDATED,NEW_PO_4252,10296.64,10995.78,NEW_PO_4252-
2024-06-01,Finland,Center A,20.0,2,PAYABLES,PURCHASE INVOICES,INVOICE CANCELLED,NEW_PO_5345,-900.0,-961.11,NEW_PO_5345-
2024-06-01,Finland,Center A,20.0,2,PAYABLES,PURCHASE INVOICES,INVOICE VALIDATED,NEW_PO_5345,900.0,961.11,NEW_PO_5345-
2024-06-01,Germany,Center A,20.0,2,PAYABLES,PURCHASE INVOICES,INVOICE VALIDATED,NEW_PO_5346,223.73,238.92,NEW_PO_5346-
2024-06-01,Germany,Center A,20.0,2,PAYABLES,PURCHASE INVOICES,INVOICE VALIDATED,NEW_PO_5347,637.0,680.25,NEW_PO_5347-
2024-06-01,Finland,Center A,20.0,2,PAYABLES,PURCHASE INVOICES,INVOICE VALIDATED,NEW_PO_5345,900.0,976.32,NEW_PO_5345-
2024-06-01,Netherlands,Center A,10.0,2,PAYABLES,PURCHASE INVOICES,INVOICE VALIDATED,NEW_PO_3265,14024.34,15213.6,NEW_PO_3265-
2024-06-01,United Kingdom,Center A,20.0,2,PAYABLES,PURCHASE INVOICES,INVOICE VALIDATED,NEW_PO_4301,1945.57,2476.91,NEW_PO_4301-
2024-06-01,United Kingdom,Center A,20.0,2,PAYABLES,PURCHASE INVOICES,INVOICE VALIDATED,NEW_PO_4301,-1945.57,-2476.91,NEW_PO_4301-
2024-06-01,United Kingdom,Center A,20.0,2,PAYABLES,PURCHASE INVOICES,INVOICE VALIDATED,NEW_PO_4301,1945.56,2476.89,NEW_PO_4301-
2024-06-01,United Arab Emirates,Center A,20.0,2,PAYABLES,PURCHASE INVOICES,INVOICE VALIDATED,NEW_PO_5348,3300.0,898.47,NEW_PO_5348-
2024-06-01,Bulgaria,Center A,10.0,2,PAYABLES,PURCHASE INVOICES,INVOICE VALIDATED,NEW_PO_4804,18000.0,19526.4,NEW_PO_4804-
2024-06-01,Germany,Center A,10.0,2,PAYABLES,PURCHASE INVOICES,INVOICE VALIDATED,NEW_PO_3342,1329.0,1419.24,NEW_PO_3342-
2024-06-01,Ireland,Center A,10.0,2,PAYABLES,PURCHASE INVOICES,INVOICE VALIDATED,NEW_PO_3286,2513.19,2683.84,NEW_PO_3286-
2024-06-01,United Kingdom,Center A,20.0,2,PAYABLES,PURCHASE INVOICES,INVOICE VALIDATED,NEW_PO_4298,30387.55,38002.67,NEW_PO_4298-
2024-06-01,United Kingdom,Center A,20.0,2,PAYABLES,PURCHASE INVOICES,INVOICE VALIDATED,NEW_PO_4298,25322.96,31668.89,NEW_PO_4298-
2024-06-01,United Kingdom,Center A,20.0,2,PAYABLES,PURCHASE INVOICES,INVOICE VALIDATED,NEW_PO_887,4268.0,5433.59,NEW_PO_887-
2024-06-01,United Kingdom,Center A,20.0,2,PAYABLES,PURCHASE INVOICES,INVOICE VALIDATED,NEW_PO_4298,-30387.55,-38002.67,NEW_PO_4298-
2024-06-01,United Arab Emirates,Center A,10.0,2,PAYABLES,PURCHASE INVOICES,INVOICE VALIDATED,NEW_PO_3298,81626.06,22223.87,NEW_PO_3298-
2024-06-01,United Kingdom,Center A,20.0,2,PAYABLES,PURCHASE INVOICES,INVOICE VALIDATED,NEW_PO_5349,726.0,924.27,NEW_PO_5349-
2024-06-01,United Kingdom,Center A,10.0,2,PAYABLES,PURCHASE INVOICES,INVOICE VALIDATED,NEW_PO_5307,-30213.25,-37784.69,NEW_PO_5307-
